,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
64m,10452.5,8261.2,6931.5,5661.9,4782.7,4035.3,3269.3,2919.4,2549.8,2291.2,2079.7,1913.1,1780.3,1628.3,1474,1383.7
32m,10444.5,8543.9,6922.4,5681.3,4808,4128,3492.2,3006.1,2660.1,2389.6,2085.4,1964,1833.1,1703.3,1528.1,1414.8
16m,10421.3,8454.8,6965.3,5840.1,5014.4,4297.3,3711.9,3273.3,2913,2500.4,2292.3,2043.6,1979.5,1858.5,1689.1,1592.6
8m,10658.4,8753.2,7160.9,6000.4,5308.7,4733.5,4341.8,4053,3622.1,3232.8,2749.9,2301.1,2079.7,1947,1830.5,1435.1
4m,11104,10426.1,10240.4,9949.4,9682.9,9232.2,8555.4,7845.4,7167.7,6545.4,6052.8,5626,5251.2,4933,4616.5,4238.2
2m,10845,10480.5,10345.7,10073.3,9780.6,9338.6,8686.6,7968.4,7293.3,6680.4,6167.9,5733.6,5344.5,5015.5,4701.6,4435
1024k,10844.3,10465.2,10339.4,10044.5,9789.6,9354.1,8723.3,7981.2,7313.3,6399,6162.2,5724.5,5329.2,5011.5,4679.9,4434.9
512k,10849.2,10476.9,10314.6,10045,9825.2,9410.8,8801.1,8144,7483.2,6840.7,6333,5891.4,5473.2,5128.8,4805.6,4539.9
256k,10845.6,10493.4,10488.1,10246.7,10103.4,9891.6,9610,9189.5,8740.7,8309.2,7916.2,7464.6,7046.8,6738.5,6410.5,6065.8
128k,10827.9,10493,10563.3,10443.3,10235.1,10197.4,10093.2,10025.7,9935.1,9619.8,9318.8,9085.7,8451.1,8127.6,7635.1,7401.6
64k,10858.1,10521.8,10616,10525.7,10395,10410.5,10387.3,10273.3,10311.8,10159.6,9780.9,9567.3,9276.7,8605.2,8221.4,8080.9
32k,10829.5,10798.9,10719.6,10654.6,10590.7,10501.9,10554.4,10615.2,10352.3,10303.9,10250,10241.4,10125.8,10122.2,10203.2,10078.5
16k,10790.8,10686.3,10654,10414.9,10667.8,10652,10457.9,10399.8,10154.5,10359.7,9956.5,10090.2,9988.3,10147.3,10016.2,9803.1
8k,10710.3,10694.3,10557.9,10106.9,9964.1,10047.8,10047.8,9857,9489.6,9694.8,9514.1,9408,9121.6,8912,9110,9152.9
4k,10537.3,10310.2,10352.3,9857,9317,9408,8835.1,8969.8,8956.5,8633,8146.4,8414.2,8115.5,7870.2,7840.6,7601.6
2k,10339.9,10078.5,8983.5,8969.8,8633,8073,7308,7601.6,7230.7,7147.8,6650.2,6618.4,6251.2,5948.4,5956.5,5749.9
1k,9491.9,9247.3,8183.6,7601.6,7007.7,6336.7,6090,5469.4,5209.7,4963.8,4655.1,4379.8,5061.1,4918.9,3722.8,4484.9
